client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697378.mp3	062b8917ec5e777564844e72c1833f2097aa0df15d3f2965aecc9d1d231c0f14	Gelir üzerinden alınan vergiler kategorisindedir.		2	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697424.mp3	074cfbe45d51f710af90438918324680b80995439cf9c85d54ee189def031334	Çakaloğlu Hanı'nın kuzey cephesindeki girişin doğu ve batı yanlarında yer alan çeşme ve sebil bulunur.		2	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697432.mp3	06e23a5c2afa90fcbcfc580765afd972467e01483642a104c4873bc870166c83	Ancak yoğun data trafiği kullanmayan işletmeler için ideal bir standarttır.		0	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697450.mp3	076fc0b39b395e9d4af1b7542a1afefb54ac87a2fe78231206a7e475c4e88e9a	İntiharından sonra Harika Pazar'ı Öznur Kaçmaz sundu.		2	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697465.mp3	07814fefda279a2c9044456579dca9793e57f6c335181b7a6c38127930f85e11	Aynı sezon oynanan Kadınlar Süper Kupa'yı kazanan ekip sezonu çifte kupalı tamamlamıştır.		2	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697479.mp3	077893fda1111a4c52f3565b8509138fce02bed4f5c21f72b04ec06af7fded5d	Şarkının tekli kapağı ise Madonna'nın bir hayranı tarafından tasarlanmıştır.		0	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697656.mp3	0782c4a77e51837b819a3be3990bd4a72b2ee56147bb293176ff896a513111ca	İnce uzun pembe gagasının sivri ucu siyahtır.		2	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697702.mp3	07700b1c9c393bb7e40bd147bd938d694b7a0b23b655ca4cb7d9b764c50f72fe	Bu küçük yunus türü Güney Amerika'nın en güneyinde yer alan Ateş Toprakları'nın çevresindeki sularda yaşar.		2	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42697941.mp3	07009c2a732818e6e45df5b8a13ed8cbfa909f3d2772aa89ab552d0ead05b616	Yunan sporcular tekler müsabakalarında bir gümüş ile bir bronz kazanmayı başardı.		0	4	eighties	female_feminine	Türkiye Türkçesi		tr	
6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205	common_voice_tr_42698048.mp3	07747d03683caa4cfd7384ab091c72a1825f972f2744685ef6ce931f2a5cd784	Merkez Federal Bölgesi'nde yer almakta ve Ukrayna ile Belarus'a sınırı bulunmaktadır.		0	4	eighties	female_feminine	Türkiye Türkçesi		tr	
